original_title,cast,director,keywords,runtime,genres,production_companies,release_date,release_year,budget_adj,revenue_adj,profit
Spectre,Daniel Craig|Christoph Waltz|LÃ©a Seydoux|Ralph Fiennes|Monica Bellucci,Sam Mendes,spy|based on novel|secret agent|sequel|james bond,148.0,Action|Adventure|Crime,Columbia Pictures|Danjaq|B24,2015-10-26,2015,225399900.824043,810220283.783075,584820382.9590319
Jupiter Ascending,Mila Kunis|Channing Tatum|Sean Bean|Eddie Redmayne|Douglas Booth,Lana Wachowski|Lilly Wachowski,jupiter|space|woman director|3d|interspecies romance,124.0,Science Fiction|Fantasy|Action|Adventure,Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.,2015-02-04,2015,161919931.51523,169268630.681802,7348699.166572005
Ex Machina,Domhnall Gleeson|Alicia Vikander|Oscar Isaac|Sonoya Mizuno|Corey Johnson,Alex Garland,dancing|artificial intelligence|helicopter|distrust|isolation,108.0,Drama|Science Fiction,DNA Films|Universal Pictures International (UPI)|Film4,2015-01-21,2015,13799993.9280026,33919845.9552677,20119852.027265098
Pixels,Adam Sandler|Michelle Monaghan|Peter Dinklage|Josh Gad|Kevin James,Chris Columbus,video game|nerd|alien attack|3d|pixels,105.0,Action|Comedy|Science Fiction,Columbia Pictures|Happy Madison Productions,2015-07-16,2015,80959964.3776156,224146025.095748,143186060.7181324
Avengers: Age of Ultron,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson,Joss Whedon,marvel comic|comic|sequel|superhero|vision,141.0,Action|Adventure|Science Fiction,Marvel Studios|Prime Focus|Revolution Sun Studios,2015-04-22,2015,257599886.656049,1292632336.88177,1035032450.2257209
The Hateful Eight,Samuel L. Jackson|Kurt Russell|Jennifer Jason Leigh|Walton Goggins|DemiÃ¡n Bichir,Quentin Tarantino,bounty hunter|wyoming|mountains|hangman|voice over narration,167.0,Crime|Drama|Mystery|Western,Double Feature Films|The Weinstein Company|FilmColony,2015-12-25,2015,40479982.1888078,143299244.588332,102819262.3995242
Taken 3,Liam Neeson|Forest Whitaker|Maggie Grace|Famke Janssen|Dougray Scott,Olivier Megaton,revenge|murder|on the run|fugitive|framed,109.0,Crime|Action|Thriller,Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|CinÃ©+,2015-01-01,2015,44159980.5696085,299709578.207785,255549597.6381765
Ant-Man,Paul Rudd|Michael Douglas|Evangeline Lilly|Corey Stoll|Bobby Cannavale,Peyton Reed,marvel comic|superhero|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe,115.0,Science Fiction|Action|Adventure,Marvel Studios,2015-07-14,2015,119599947.376023,477113780.029936,357513832.653913
Cinderella,Lily James|Cate Blanchett|Richard Madden|Helena Bonham Carter|Holliday Grainger,Kenneth Branagh,cinderella|magic|fairy tale|princess|shoe,112.0,Romance|Fantasy|Family|Drama,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions,2015-03-12,2015,87399961.5440169,498963025.216268,411563063.6722511
The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson|Elizabeth Banks,Francis Lawrence,revolution|strong woman|dystopia|game of death|3d,136.0,War|Adventure|Science Fiction,Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force,2015-11-18,2015,147199935.232028,598481289.508232,451281354.276204
Tomorrowland,Britt Robertson|George Clooney|Raffey Cassidy|Thomas Robinson|Hugh Laurie,Brad Bird,inventor|apocalypse|destiny|imax|dreamer,130.0,Action|Family|Science Fiction|Adventure|Mystery,Walt Disney Pictures|Babieka|A113,2015-05-19,2015,174799923.088033,192312729.942398,17512806.85436502
Southpaw,Jake Gyllenhaal|Rachel McAdams|Forest Whitaker|Oona Laurence|50 Cent,Antoine Fuqua,sport,123.0,Action|Drama,Escape Artists|Riche-Ludwig Productions,2015-06-15,2015,27599987.8560053,84373003.7158783,56773015.859873
San Andreas,Dwayne Johnson|Alexandra Daddario|Carla Gugino|Ioan Gruffudd|Archie Panjabi,Brad Peyton,california|earthquake|catastrophe|disaster film|3d,114.0,Action|Drama|Thriller,New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company,2015-05-27,2015,101199955.472019,432851374.985395,331651419.513376
Fifty Shades of Grey,Dakota Johnson|Jamie Dornan|Jennifer Ehle|Eloise Mumford|Victor Rasuk,Sam Taylor-Johnson,based on novel|billionaire|bdsm|woman director|erotic movie,125.0,Drama|Romance,Focus Features|Trigger Street Productions|Michael De Luca Productions,2015-02-11,2015,36799983.8080071,524079119.045187,487279135.2371799
The Big Short,Christian Bale|Steve Carell|Ryan Gosling|Brad Pitt|Melissa Leo,Adam McKay,bank|fraud|biography|wall street|finances,130.0,Comedy|Drama,Paramount Pictures|Plan B Entertainment|Regency Enterprises,2015-12-11,2015,25759988.6656049,122678731.541358,96918742.87575309
Mission: Impossible - Rogue Nation,Tom Cruise|Jeremy Renner|Simon Pegg|Rebecca Ferguson|Ving Rhames,Christopher McQuarrie,spy|sequel|mission,131.0,Action,Paramount Pictures|Skydance Productions|China Movie Channel|Bad Robot|TC Productions,2015-07-23,2015,137999939.280026,627743451.672881,489743512.39285505
Ted 2,Mark Wahlberg|Seth MacFarlane|Amanda Seyfried|Jessica Barth|Giovanni Ribisi,Seth MacFarlane,sperm bank|sequel|buddy|courthouse|teddy bear,115.0,Comedy,Universal Pictures|Media Rights Capital|Fuzzy Door Productions,2015-06-25,2015,62559972.4736121,198594430.13845,136034457.6648379
Kingsman: The Secret Service,Taron Egerton|Colin Firth|Samuel L. Jackson|Michael Caine|Mark Strong,Matthew Vaughn,spy|great britain|secret organization|secret agent|marvel comic,130.0,Crime|Comedy|Action|Adventure,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions,2015-01-24,2015,74519967.2112144,371497801.660967,296977834.44975257
Spotlight,Mark Ruffalo|Michael Keaton|Rachel McAdams|Liev Schreiber|John Slattery,Tom McCarthy,child abuse|journalism|judge|florida|boston,128.0,Drama|Thriller|History,Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features,2015-11-06,2015,18399991.9040035,81278719.3973634,62878727.49335989
Maze Runner: The Scorch Trials,Dylan O'Brien|Kaya Scodelario|Thomas Brodie-Sangster|Giancarlo Esposito|Aidan Gillen,Wes Ball,based on novel|resistance|maze|post-apocalyptic|dystopia,132.0,Action|Science Fiction|Thriller,Gotham Group|Temple Hill Entertainment|TSG Entertainment,2015-09-09,2015,56119975.3072108,286356245.923251,230236270.61604017
Mr. Holmes,Ian McKellen|Milo Parker|Laura Linney|Hattie Morahan|Patrick Kennedy,Bill Condon,london|detective|sherlock holmes,103.0,Mystery|Drama,BBC Films|See-Saw Films|FilmNation Entertainment|Archer Gray|AI-Film,2015-06-19,2015,36889069.20400227,27006774.877019,27006774.877019
Chappie,Sharlto Copley|Dev Patel|Ninja|Yolandi Visser|Jose Pablo Cantillo,Neill Blomkamp,artificial intelligence|android|robot|near future|robot cop,120.0,Crime|Action|Science Fiction,Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films,2015-03-04,2015,45079980.1648087,93903685.2423785,48823705.077569805
Pitch Perfect 2,Anna Kendrick|Rebel Wilson|Hailee Steinfeld|Brittany Snow|Skylar Astin,Elizabeth Banks,music|sequel|singer|male female relationship|audition,115.0,Comedy|Music,Universal Pictures|Gold Circle Films|Brownstone Productions,2015-05-07,2015,26679988.2608051,264505582.097543,237825593.8367379
Bridge of Spies,Tom Hanks|Mark Rylance|Amy Ryan|Alan Alda|Sebastian Koch,Steven Spielberg,spy|cia|cold war|pilot|lawyer,141.0,Thriller|Drama,DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions,2015-10-15,2015,36799983.8080071,149601569.335309,112801585.52730191
Goosebumps,Jack Black|Dylan Minnette|Odeya Rush|Amy Ryan|Jillian Bell,Rob Letterman,based on novel|magic|fantasy|family|3d,103.0,Adventure|Horror|Comedy,Columbia Pictures|Original Film|Scholastic Entertainment,2015-08-05,2015,53359976.5216103,138157089.01088,84797112.4892697
Room,Brie Larson|Jacob Tremblay|Joan Allen|Sean Bridgers|William H. Macy,Lenny Abrahamson,based on novel|carpet|isolation|imprisonment|grandparents,117.0,Drama|Thriller,Element Pictures|No Trace Camping|A24|Duperele Films,2015-10-16,2015,5519997.57120106,32569603.0293746,27049605.45817354
Solace,Abbie Cornish|Jeffrey Dean Morgan|Colin Farrell|Anthony Hopkins|Marley Shelton,Afonso Poyart,thriller|serial killer|psychic|fbi agent|intrigue,101.0,Crime|Drama|Mystery,Eden Rock Media|FilmNation Entertainment|Flynn Picture Company,2015-09-03,2015,36889069.20400227,20566197.1908732,20566197.1908732
The Good Dinosaur,Raymond Ochoa|Jack Bright|Jeffrey Wright|Frances McDormand|Maleah Nipay-Padilla,Peter Sohn,tyrannosaurus rex|friends|animation|alternate history|dinosaur,93.0,Adventure|Animation|Comedy|Family|Fantasy,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,2015-11-14,2015,160999929.160031,305371920.876354,144371991.716323
Run All Night,Liam Neeson|Ed Harris|Joel Kinnaman|Boyd Holbrook|Bruce McGill,Jaume Collet-Serra,hitman|revenge|murder|on the run|mobster,114.0,Action|Crime|Drama|Mystery|Thriller,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment,2015-03-11,2015,45999979.7600089,65836683.5118592,19836703.7518503
Brooklyn,Saoirse Ronan|Domhnall Gleeson|Emory Cohen|Emily Bett Rickards|Eileen O'Higgins,John Crowley,love triangle|based on novel|homesickness|vororte|ship,111.0,Drama|Romance,Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions,2015-11-04,2015,10119995.5472019,57110024.5915891,46990029.0443872
Straight Outta Compton,O'Shea Jackson Jr.|Corey Hawkins|Jason Mitchell|Neil Brown Jr.|Aldis Hodge,F. Gary Gray,brother brother relationship|aids|police brutality|hip-hop|wife husband relationship,147.0,Drama|Music,New Line Cinema|Universal Pictures|Legendary Pictures|Cube Vision|Broken Chair Flickz,2015-08-13,2015,25759988.6656049,185504110.098191,159744121.4325861
The Last Witch Hunter,Vin Diesel|Rose Leslie|Michael Caine|Elijah Wood|Ã“lafur Darri Ã“lafsson,Breck Eisner,new york|witch|uprising|witch hunter,106.0,Fantasy|Action|Adventure,Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel,2015-10-21,2015,82799963.568016,129164861.167461,46364897.599445
Steve Jobs,Michael Fassbender|Kate Winslet|Seth Rogen|Katherine Waterston|Jeff Daniels,Danny Boyle,biography|computer|based on true story|father daughter relationship|apple computer,122.0,History|Drama,Universal Pictures|Scott Rudin Productions|Legendary Pictures|The Mark Gordon Company|Management 360,2015-10-09,2015,27599987.8560053,31686509.2179359,4086521.3619306013
The Man from U.N.C.L.E.,Henry Cavill|Armie Hammer|Alicia Vikander|Elizabeth Debicki|Luca Calvani,Guy Ritchie,spy|cold war|remake|based on tv series|buddy cop,116.0,Comedy|Action|Adventure,Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment,2015-08-13,2015,68999969.6400133,99493456.5028791,30493486.86286579
The Age of Adaline,Blake Lively|Michiel Huisman|Harrison Ford|Ellen Burstyn|Kathy Baker,Lee Toland Krieger,san francisco|immortality|love|forever,112.0,Fantasy|Drama|Romance,Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity,2015-04-16,2015,22999989.8800044,39219376.6634742,16219386.783469804
Hardcore Henry,Sharlto Copley|Haley Bennett|Danila Kozlovskiy|Tim Roth|Andrei Dementiev,Ilya Naishuller,female nudity|cyborg|nudity|murder|gore,97.0,Action|Adventure|Science Fiction,Bazelevs Production|Versus Pictures,2015-09-12,2015,9199995.95200178,13187080.9976843,3987085.0456825197
Home,Jim Parsons|Rihanna|Steve Martin|Jennifer Lopez|Matt Jones,Tim Johnson,friendship|spaceship|space|alien|alien invasion,94.0,Fantasy|Comedy|Animation|Science Fiction|Family,Twentieth Century Fox Film Corporation|DreamWorks Animation,2015-03-18,2015,124199945.352024,339361177.121082,215161231.769058
Paper Towns,Nat Wolff|Cara Delevingne|Halston Sage|Justice Smith|Austin Abrams,Jake Schreier,friendship|high school|teen|classmate|based on young adult book,109.0,Drama|Mystery|Romance,Fox 2000 Pictures,2015-07-09,2015,11039995.1424021,78671281.3846362,67631286.2422341
Wild Card,Jason Statham|Michael Angarano|Milo Ventimiglia|Dominik GarcÃ­a-Lorido|Anne Heche,Simon West,gambling|bodyguard|remake,92.0,Thriller|Crime|Drama,Current Entertainment|Lionsgate|Sierra / Affinity|SJ Heat Productions|Silver State Production Services,2015-01-14,2015,27599987.8560053,115100887.62834093,-27599987.8560053
The Lobster,Colin Farrell|Rachel Weisz|LÃ©a Seydoux|John C. Reilly|Ben Whishaw,Yorgos Lanthimos,dystopia,118.0,Thriller|Comedy|Drama|Romance|Science Fiction,Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film,2015-10-08,2015,3679998.38080071,8339346.45068756,4659348.06988685
Carol,Cate Blanchett|Rooney Mara|Kyle Chandler|Sarah Paulson|Jake Lacy,Todd Haynes,gay|new york|female nudity|chicago|sex,118.0,Romance|Drama,Killer Films|Film4|Number 9 Films,2015-11-20,2015,10855995.2233621,37050347.8978469,26194352.6744848
The Intern,Robert De Niro|Anne Hathaway|Rene Russo|Anders Holm|JoJo Kushner,Nancy Meyers,intern|woman director,121.0,Comedy,Waverly Films|Warner Bros.,2015-09-24,2015,32199985.8320062,178999419.480255,146799433.6482488
Everest,Jason Clarke|Jake Gyllenhaal|Josh Brolin|John Hawkes|Sam Worthington,Baltasar KormÃ¡kur,mountains|snow storm|hiking|snow|death,121.0,Adventure|Drama,Universal Pictures|Working Title Films|Walden Media|Cross Creek Pictures|Free State Pictures,2015-09-10,2015,50599977.7360098,187153294.93255,136553317.1965402
Joy,Jennifer Lawrence|Bradley Cooper|Robert De Niro|Dascha Polanco|Edgar RamÃ­rez,David O. Russell,biography,124.0,Comedy|Drama,Fox 2000 Pictures|Davis Entertainment|Annapurna Pictures|TSG Entertainment,2015-12-24,2015,55199975.7120106,93043293.3409509,37843317.62894031
Point Break,Edgar RamÃ­rez|Luke Bracey|Teresa Palmer|Delroy Lindo|Ray Winstone,Ericson Core,undercover|undercover agent|extreme sports|fbi agent|3d,114.0,Action|Crime|Thriller,Studio Babelsberg|Alcon Entertainment|DMG Entertainment|Ehman Productions,2015-12-03,2015,96599957.4960187,123021159.990689,26421202.4946703
Burnt,Bradley Cooper|Sienna Miller|Lily James|Alicia Vikander|Uma Thurman,John Wells,london|cook|restaurant|diva|career,100.0,Drama,Double Feature Films|PeaPie Films|3 Arts Entertainment,2015-10-02,2015,18399991.9040035,33678188.7415969,15278196.837593399
Self/less,Ryan Reynolds|Ben Kingsley|Natalie Martinez|Matthew Goode|Michelle Dockery,Tarsem Singh,lie|immortality|terminal illness|laboratory|cancer,116.0,Science Fiction|Mystery|Thriller,Endgame Entertainment|Ram Bergman Productions,2015-07-10,2015,23919989.4752046,28081355.5642035,4161366.0889989026
Mortdecai,Johnny Depp|Gwyneth Paltrow|Ewan McGregor|Paul Bettany|Olivia Munn,David Koepp,based on novel|painting|debt|art dealer|stolen painting,106.0,Comedy|Adventure,Lionsgate|Mad Chance|OddLot Entertainment|Huayi Brothers Media,2015-01-21,2015,55199975.7120106,27985062.8865723,-27214912.8254383
The Danish Girl,Eddie Redmayne|Alicia Vikander|Matthias Schoenaerts|Amber Heard|Ben Whishaw,Tom Hooper,paris|denmark|copenhagen|artist|art,120.0,Drama,Pretty Pictures|Working Title Films|ArtÃ©mis Productions|Le Tax Shelter du Gouvernement FÃ©dÃ©ral de Belgique|Taxshelter. be,2015-11-27,2015,13799993.9280026,59056175.1752829,45256181.2472803
Blackhat,Chris Hemsworth|Leehom Wang|Tang Wei|Viola Davis|Holt McCallany,Michael Mann,terrorist|technology|anti hero|hacker|computer virus,133.0,Mystery|Crime|Action|Thriller|Drama,Universal Pictures|Forward Pass|Legendary Pictures,2015-01-13,2015,64399971.6640124,16332697.613613,-48067274.0503994
Sicario,Emily Blunt|Benicio del Toro|Josh Brolin|Victor Garber|Jon Bernthal,Denis Villeneuve,mexico|cia|smoking|texas|fbi,121.0,Action|Crime|Drama|Mystery|Thriller,Lionsgate|Thunder Road Pictures|Black Label Media,2015-09-17,2015,27599987.8560053,77303716.7063646,49703728.850359306
Fantastic Four,Miles Teller|Kate Mara|Michael B. Jordan|Jamie Bell|Toby Kebbell,Josh Trank,teleportation|transformation|telekinesis|portal|marvel comic,100.0,Action|Adventure|Science Fiction,Twentieth Century Fox Film Corporation|Marv Films|Marvel Entertainment|Constantin Film.|Moving Picture Company (MPC),2015-08-05,2015,110399952.34402,154539320.322699,44139367.978679016
The Witch,Anya Taylor-Joy|Ralph Ineson|Kate Dickie|Harvey Scrimshaw|Ellie Grainger,Robert Eggers,witch|new england|17th century,92.0,Mystery|Horror,Parts and Labor|RT Features|Rooks Nest Entertainment|Maiden Voyage Pictures|Pulse Films,2015-03-24,2015,3219998.58320062,37190013.0363942,33970014.45319358
Spy,Melissa McCarthy|Jason Statham|Rose Byrne|Miranda Hart|Bobby Cannavale,Paul Feig,spy|cia|undercover|arms dealer|disaster,120.0,Action|Comedy|Crime,Twentieth Century Fox Film Corporation|Chernin Entertainment|Feigco Entertainment,2015-05-06,2015,59799973.6880115,216812826.082356,157012852.3943445
Focus,Will Smith|Margot Robbie|Rodrigo Santoro|Robert Taylor|Gerald McRaney,Glenn Ficarra|John Requa,seduction|con man|femme fatale|deception|con artist,105.0,Romance|Comedy|Crime|Drama,Kramer & Sigman Films|RatPac-Dune Entertainment|Zaftig Films,2015-02-25,2015,46091979.7195289,141645863.63582,95553883.9162911
Hitman: Agent 47,Rupert Friend|Zachary Quinto|Hannah Ware|Emilio Rivera|Rolf Kanies,Aleksander Bach,assassin|secret identity|intelligence|hitman|execution,96.0,Action|Crime|Thriller,Twentieth Century Fox Film Corporation|Fox International Productions|Infinite Frameworks Studios|TSG Entertainment,2015-08-20,2015,32199985.8320062,75759810.1856835,43559824.3536773
In the Heart of the Sea,Chris Hemsworth|Benjamin Walker|Cillian Murphy|Brendan Gleeson|Ben Whishaw,Ron Howard,suicide|ocean|sea|hunger|shipwreck,122.0,Thriller|Drama|Adventure|Action|History,Imagine Entertainment|Spring Creek Productions|Warner Bros.|Roth Films|K. JAM Media,2015-11-20,2015,91999959.5200178,86315059.3813738,-5684900.13864401
Survivor,Pierce Brosnan|Milla Jovovich|Dylan McDermott|Angela Bassett|Robert Forster,James McTeigue,new year's eve|fire|showdown|terrorist|embassy,96.0,Crime|Thriller|Action,Nu Image Films|Winkler Films|Millennium Films|Survivor Productions,2015-05-21,2015,18399991.9040035,115100887.62834093,-18399991.9040035
Creed,Michael B. Jordan|Sylvester Stallone|Graham McTavish|Tessa Thompson|Phylicia RashÄd,Ryan Coogler,underdog|sport|spin off|underground fighting|motivational speaker,133.0,Drama,New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Chartoff-Winkler Productions,2015-11-25,2015,32199985.8320062,126900665.803707,94700679.9717008
Trainwreck,Amy Schumer|Bill Hader|Brie Larson|Colin Quinn|Vanessa Bayer,Judd Apatow,alcohol|one-night stand,125.0,Comedy,Universal Pictures|Fuji Television Network|Dentsu|Apatow Productions,2015-07-17,2015,32199985.8320062,129532072.565888,97332086.7338818
Eye in the Sky,Helen Mirren|Aaron Paul|Alan Rickman|Iain Glen|Barkhad Abdi,Gavin Hood,terrorist|drone|u.s. military|air force base|combat drone,102.0,Drama|Thriller|War,Entertainment One|Moonlighting Films|Raindog Films,2015-09-11,2015,11959994.7376023,30220316.9030605,18260322.165458202
Legend,Tom Hardy|Emily Browning|Christopher Eccleston|David Thewlis|Taron Egerton,Brian Helgeland,biography|based on true story|gangster|twins,131.0,Crime|Thriller,Working Title Films|Cross Creek Pictures|Anton Capital Entertainment (ACE),2015-09-09,2015,22999989.8800044,39535137.0845396,16535147.204535201
Beyond the Reach,Michael Douglas|Jeremy Irvine|Hanna Mangan Lawrence|Ronny Cox|Martin Palmer,Jean-Baptiste LÃ©onetti,desert|hunting,95.0,Thriller,Furthur Films,2015-04-17,2015,36889069.20400227,42223.3814217121,42223.3814217121
Pan,Levi Miller|Garrett Hedlund|Hugh Jackman|Rooney Mara|Amanda Seyfried,Joe Wright,flying|magic|fairy tale|peter pan|mermaid,111.0,Adventure|Family|Fantasy,Warner Bros.|Moving Picture Company (MPC)|Berlanti Productions|RatPac-Dune Entertainment,2015-09-24,2015,137999939.280026,118117202.42843,-19882736.851595983
Mythica: The Darkspore,Melanie Stone|Kevin Sorbo|Adam Johnson|Jake Stormoen|Rocky Myers,Anne K. Black,sword|magic|sorcery|necromancer|woman director,108.0,Action|Adventure|Fantasy,Arrowstorm Entertainment,2015-06-24,2015,36889069.20400227,115100887.62834093,0.0
Me and Earl and the Dying Girl,Thomas Mann|RJ Cyler|Olivia Cooke|Connie Britton|Nick Offerman,Alfonso Gomez-Rejon,tattoo|high school|leukemia|friends|parody,105.0,Comedy|Drama,Indian Paintbrush,2015-06-12,2015,36889069.20400227,115100887.62834093,0.0
The Peanuts Movie,Noah Schnapp|Bill Melendez|Venus Schultheis|Hadley Belle Miller|Madisyn Shipman,Steve Martino,based on comic strip|family|3d|charlie brown|snoopy,88.0,Adventure|Animation|Comedy|Family,Blue Sky Studios|Twentieth Century Fox Animation|Feigco Entertainment,2015-11-05,2015,91079959.9248176,226534364.284879,135454404.3600614
Concussion,Will Smith|Bitsie Tulloch|Gugu Mbatha-Raw|Alec Baldwin|Matthew Willig,Peter Landesman,american football|biography|professional sports|sports injury|nfl,123.0,Drama,Village Roadshow Pictures|Scott Free Productions|LStar Capital|The Cantillon Company|The Shuman Company,2015-11-12,2015,32199985.8320062,44733666.5571867,12533680.7251805
The Night Before,Joseph Gordon-Levitt|Seth Rogen|Anthony Mackie|Lizzy Caplan|Jillian Bell,Jonathan Levine,male friendship|new york city|drug|christmas eve|childhood friend,100.0,Comedy,Sony Pictures|Point Grey Pictures|Good Universe,2015-11-20,2015,22999989.8800044,48204295.1101101,25204305.230105698
Knock Knock,Keanu Reeves|Lorenza Izzo|Ana de Armas|Aaron Burns|Colleen Camp,Eli Roth,female nudity|sex|disc jockey|infidelity|rain,99.0,Drama|Horror|Thriller,Universum Film (UFA)|Dragonfly Entertainment|Black Bear Pictures|Square One Entertainment|Sobras International Pictures,2015-06-26,2015,2299998.98800044,4796917.44935632,2496918.4613558804
The Longest Ride,Scott Eastwood|Britt Robertson|Lolita Davidovich|Melissa Benoist|Jack Huston,"George Tillman, Jr.",based on novel|art student|cowboys|injury|bull riding,128.0,Romance|Drama,Fox 2000 Pictures|Temple Hill Entertainment,2015-04-09,2015,31279986.236806,57972193.012235,26692206.775429
Hotel Transylvania 2,Adam Sandler|Andy Samberg|Selena Gomez|Kevin James|Steve Buscemi,Genndy Tartakovsky,transylvania|hotel|witch|technology|magic,89.0,Animation|Comedy|Family,Columbia Pictures|Sony Pictures Animation,2015-09-21,2015,73599967.6160142,428888671.768984,355288704.15296984
Love the Coopers,Steve Martin|Diane Keaton|John Goodman|Alan Arkin|Olivia Wilde,Jessie Nelson,big family|family relationships|family|woman director|christmas,107.0,Family|Comedy,Imagine Entertainment|Groundswell Productions|CBS Films,2015-11-12,2015,15639993.118403,22079990.2848042,6439997.166401198
The Walk,Joseph Gordon-Levitt|Ben Kingsley|Charlotte Le Bon|Ben Schwartz|James Badge Dale,Robert Zemeckis,1970s|skyscraper|based on true story|tightrope|planning,123.0,Adventure|Drama|Thriller,TriStar Pictures|Sony Pictures Entertainment|ImageMovers,2015-09-30,2015,32199985.8320062,56287361.8735607,24087376.041554496
Tracers,Marie Avgeropoulos|Taylor Lautner|Adam Rayner|Rafi Gavron|Sam Medina,Daniel Benmayor,chinese mafia|parkour|new york city|loan shark|young adult,94.0,Action|Crime|Drama,Temple Hill Entertainment|Senator Film|Freerunning|Melbarken|Saban Films,2015-01-15,2015,10119995.5472019,1714249.04573042,-8405746.50147148
